生徒番号,課題設定の俯瞰性と社会的インパクト,学術的探究心と知識の解像度,主体的行動実績と自走力,論理的構成力と目的意識,合計
82974641,9,32,25,10,76
82962154,7,22,28,19,76
62694596,3,30,28,15,76
55342108,9,25,24,18,76
52151476,8,24,26,18,76
82693234,9,24,24,18,75
81519061,6,30,22,17,75
67739237,8,22,27,18,75
64218503,6,25,26,18,75
62862651,7,35,15,18,75
82561362,9,21,27,18,75
80694829,7,21,29,18,75
81406801,5,30,21,18,74
76315720,9,21,26,18,74
63791935,9,21,26,18,74
61691372,9,38,8,19,74
60593580,8,20,28,18,74
82784949,9,23,24,18,74
82454213,9,22,25,18,74
52771768,8,25,24,17,74
62726382,5,22,28,18,73
62874357,7,30,18,18,73
60680920,9,22,24,18,73
83016112,9,22,24,18,73
82683573,7,19,28,19,73
82126267,8,22,25,18,73
82043221,8,22,24,18,72
81873093,8,22,24,18,72
80686583,8,28,20,16,72
80292577,7,22,25,18,72
80256945,9,22,24,17,72
74070185,9,22,24,17,72
74229991,6,32,16,18,72
61840980,7,22,25,18,72
65409213,6,22,26,18,72
60529849,9,22,24,17,72
82717788,8,31,16,17,72
60834374,5,25,24,18,72
82769761,9,26,18,18,71
82000140,9,26,18,18,71
81721552,8,22,24,17,71
81233981,7,20,26,18,71
62790021,8,21,24,18,71
82852499,9,28,16,18,71
83016261,8,21,24,18,71
82671311,8,21,25,17,71
82315892,9,22,24,16,71
82773751,6,22,25,18,71
82405603,8,26,19,17,70
81031327,7,19,26,18,70
77132581,8,22,25,15,70
65054342,7,28,23,12,70
80966811,7,20,25,18,70
59618647,6,28,18,18,70
62616064,9,25,18,18,70
61770086,6,21,25,18,70
82878331,7,22,25,16,70
82804991,8,20,24,18,70
82333548,9,35,8,18,70
82375879,9,26,18,16,69
81167113,3,30,18,18,69
80874436,8,20,23,18,69
82582343,5,20,26,18,69
62765094,6,28,22,13,69
59515937,8,25,24,12,69
82808597,6,22,24,17,69
82801231,6,25,26,12,69
82404747,7,20,24,17,68
82471207,8,19,24,17,68
80714021,8,22,20,18,68
4660242,5,32,20,11,68
82676046,5,18,28,17,68
82627321,3,31,25,9,68
82605955,9,25,16,18,68
60524839,5,38,8,17,68
82465401,9,24,16,18,67
62007351,6,19,24,18,67
81705395,9,22,18,18,67
64662454,6,20,24,17,67
62660942,8,25,18,16,67
61039217,9,25,19,14,67
61778010,9,32,10,16,67
82908109,6,18,25,18,67
82659940,4,18,27,18,67
8074330,9,30,10,18,67
80410863,9,35,5,17,66
67570852,9,22,23,12,66
81506767,9,25,20,12,66
62867130,6,25,17,18,66
62754963,5,25,19,17,66
62762168,6,25,24,11,66
82432422,7,31,10,18,66
82416206,8,30,15,12,65
81267461,9,32,5,19,65
81987269,8,31,10,16,65
74291149,7,15,25,18,65
65621191,8,22,18,17,65
6707556,6,22,24,13,65
56416601,9,31,14,11,65
62410253,9,21,17,18,65
82960763,9,22,16,18,65
82943893,6,21,24,14,65
82928941,9,22,16,18,65
81332084,8,22,17,18,65
81403470,9,32,8,16,65
82851786,9,28,10,18,65
82417512,8,25,18,13,64
81594437,7,22,17,18,64
68242123,9,32,5,18,64
62986228,8,15,23,18,64
62621181,8,22,16,18,64
62962965,9,32,5,18,64
61453854,9,32,5,18,64
82702951,6,18,24,16,64
82992738,9,22,16,17,64
82624437,3,20,24,17,64
81859198,7,25,16,16,64
82504083,8,22,16,18,64
82373469,7,22,17,18,64
4887590,8,20,18,18,64
81888902,8,22,24,9,63
62781553,9,35,5,14,63
62777262,8,21,16,18,63
62502051,8,18,19,18,63
6484832,7,15,23,18,63
62271491,7,10,28,18,63
83151095,7,20,24,12,63
82725586,7,25,16,15,63
82710651,5,18,27,13,63
56303297,3,22,24,14,63
59356308,8,22,17,16,63
48882011,7,22,16,18,63
82386200,7,28,10,18,63
81117914,9,15,20,18,62
81062389,9,22,16,15,62
81047185,6,12,26,18,62
80818226,9,25,10,18,62
77004566,5,22,17,18,62
62972260,8,12,24,18,62
62782649,6,22,17,17,62
60314699,6,20,19,17,62
82046514,8,32,5,16,61
62800141,9,30,10,12,61
62732927,9,24,10,18,61
62004654,7,10,26,18,61
82939209,7,20,18,16,61
82310386,8,22,16,15,61
82319201,8,22,14,17,61
66245711,7,25,10,18,60
63462702,7,5,28,20,60
62748971,7,31,10,12,60
61444961,5,18,25,12,60
82964173,7,10,25,18,60
82766509,3,15,26,16,60
82688915,9,25,10,16,60
82527733,8,20,15,17,60
82325685,9,22,10,18,59
82390070,8,22,19,10,59
81923511,8,22,14,15,59
81037350,6,12,28,13,59
75658321,7,19,20,13,59
67630022,5,21,17,16,59
62904051,6,21,16,16,59
62943758,9,24,10,16,59
56525460,5,12,26,16,59
61847089,5,20,24,10,59
82645345,4,15,24,16,59
82828172,5,21,16,17,59
82796793,8,20,15,16,59
82694931,5,18,20,16,59
82456747,7,23,10,18,58
81460961,7,28,5,18,58
60181656,9,21,16,12,58
62237497,9,21,10,18,58
83149601,7,5,28,18,58
82572046,8,20,16,14,58
82596646,6,20,14,18,58
48529371,5,20,16,17,58
49623281,5,20,16,17,58
82826285,4,10,26,18,58
81587465,7,22,10,18,57
80258042,5,15,20,17,57
80574203,5,20,16,16,57
66263778,4,19,23,11,57
62847678,8,22,16,11,57
82909318,7,20,16,14,57
82986657,8,20,14,15,57
82536031,9,22,8,18,57
82010293,9,25,5,17,56
82000069,8,22,10,16,56
81659784,5,21,16,14,56
80897631,8,25,5,18,56
67280498,7,15,18,16,56
65524926,9,25,5,17,56
62771272,7,20,16,13,56
62718169,6,22,16,12,56
62834681,6,22,10,18,56
62152564,7,25,8,16,56
62715097,5,10,24,17,56
59492848,4,10,25,17,56
81237022,4,20,19,13,56
82597782,8,20,16,11,55
81293411,9,22,5,19,55
74492357,6,25,10,14,55
66701830,5,22,16,12,55
81020937,8,20,15,12,55
62741098,8,20,10,17,55
83260421,5,21,17,12,55
80339379,5,12,27,11,55
81947917,8,20,10,16,54
81153554,8,19,15,12,54
81127731,6,22,10,16,54
74073184,6,18,16,14,54
81652691,4,20,18,12,54
82814058,6,20,16,12,54
82693498,9,21,12,12,54
82394814,8,5,24,16,53
1221540,5,20,16,12,53
62377639,6,19,16,12,53
82898405,5,12,18,18,53
82743126,5,20,16,12,53
82649723,6,10,26,11,53
82568561,9,22,5,16,52
82446474,9,22,5,16,52
82015970,5,21,10,16,52
81283652,6,25,5,16,52
80455204,5,12,17,18,52
66197422,6,22,8,16,52
63070936,6,22,8,16,52
61508047,4,20,20,8,52
61895270,9,20,5,18,52
62534645,8,22,5,17,52
82672504,4,20,16,12,52
80456855,8,12,15,16,51
62670573,6,25,5,15,51
61846660,8,31,0,12,51
82915041,4,20,16,11,51
82765952,5,15,14,17,51
82559473,6,10,23,12,51
82469547,6,12,20,13,51
57194394,9,21,5,16,51
56234511,9,21,5,16,51
53339991,5,18,15,13,51
82234973,9,20,10,12,51
82517428,8,22,5,15,50
62258052,7,22,5,16,50
62644335,7,22,5,16,50
61480614,5,20,15,10,50
57253609,5,12,16,17,50
82562661,6,10,16,18,50
62935658,7,22,5,16,50
82537518,4,10,20,16,50
82250456,3,19,16,11,49
81809883,4,20,16,9,49
62844105,5,10,16,18,49
62930044,7,22,5,15,49
62694570,6,22,5,16,49
82733716,8,20,5,16,49
82121044,8,12,16,13,49
82602191,8,20,5,15,48
82401471,6,5,26,11,48
80852475,8,20,5,15,48
61944157,8,20,5,15,48
62741934,8,20,5,15,48
82968519,6,20,10,12,48
82555958,5,10,17,16,48
82620105,6,5,25,12,48
82158550,5,5,24,14,48
82221995,5,20,10,12,47
82111341,3,5,24,15,47
80349722,5,12,16,14,47
62586491,4,10,20,13,47
62411314,5,22,5,15,47
58193723,6,10,15,16,47
82865922,6,12,15,14,47
83003070,5,20,10,12,47
82883599,5,12,14,16,47
82565783,6,21,5,15,47
55058442,8,22,5,12,47
82472271,8,5,18,15,46
65218132,8,18,5,15,46
80232591,5,22,5,14,46
62819755,7,20,5,14,46
60846887,8,21,5,12,46
82873453,8,21,5,12,46
83038256,6,21,3,16,46
82756252,6,10,17,13,46
52573087,5,5,24,12,46
59829974,9,22,5,10,46
81341920,9,15,5,16,45
62976532,7,10,12,16,45
83166599,8,20,5,12,45
82720291,4,10,16,15,45
82700087,5,8,16,16,45
82880905,6,12,15,12,45
81458771,3,5,24,12,44
81117906,8,12,10,14,44
82774234,6,12,10,16,44
53176171,5,5,18,16,44
82099251,5,10,16,12,43
82250014,7,12,10,14,43
62934384,5,5,16,16,42
82561443,4,22,5,11,42
82583544,5,5,15,16,41
82479763,4,10,15,12,41
81003447,6,18,10,7,41
82897301,6,15,5,15,41
82106819,5,15,5,16,41
82633959,4,8,16,12,40
81017278,8,20,0,12,40
65888294,4,20,5,11,40
83045104,8,12,5,15,40
82739617,3,5,23,9,40
74685309,5,5,17,12,39
62949721,5,20,2,12,39
61313335,5,15,5,14,39
64974944,3,15,5,16,39
64646394,5,20,0,14,39
62269275,6,5,16,12,39
82792500,5,10,16,8,39
82635544,3,10,16,10,39
82825297,7,10,10,12,39
82494134,5,12,5,17,39
82306885,4,5,18,11,38
62844431,3,10,15,10,38
61794341,4,0,24,10,38
64858171,5,15,5,12,37
82691304,5,5,16,11,37
65763572,5,5,15,11,36
65199154,4,15,5,12,36
62774620,5,21,0,10,36
82867224,8,12,5,11,36
82689580,4,5,18,9,36
82479321,3,8,15,10,36
80251552,4,5,15,11,35
65560191,5,5,15,10,35
82675651,8,10,5,12,35
82676933,5,12,5,13,35
82588333,4,5,15,11,35
83003240,7,12,2,14,35
82131538,4,3,16,11,34
82569746,4,5,16,9,34
52872807,4,10,5,14,33
82895481,6,8,5,14,33
80780075,4,8,10,10,32
62794159,5,10,3,14,32
81035284,5,10,5,12,32
82591431,5,10,5,11,31
81117272,3,5,8,15,31
82547785,4,5,16,6,31
82923787,3,12,8,7,30
82960623,4,3,8,15,30
37802836,6,5,3,16,30
80267254,6,10,5,8,29
83100300,3,5,10,11,29
82984310,5,10,3,11,29
82625336,5,8,5,11,29
82830207,4,10,5,10,29
82788022,5,8,5,11,29
57607028,5,10,2,11,28
80244041,6,5,3,12,26
82980071,3,5,8,9,25
82616060,5,3,5,12,25
57115478,7,5,0,12,24
82829985,4,5,0,15,24
80308023,5,5,3,10,23
82199698,4,3,0,15,22
66532825,5,3,5,9,22
82783071,4,5,3,10,22
80681182,0,0,15,5,20
62905660,3,2,8,7,20
81948859,3,5,2,9,19
82627819,0,0,5,10,15
82125317,,,,,
82446318,,,,,
